F001001001AVES                          01001.png
F001002002OVINO                         01002.png
F001003003CERDO                         01003.png
F001004004VACUNO                        01004.png
F001005005CAZA                          01005.png
F001006006CABALLO                       01006.png
F001007007HAMBURGUESAS                  01007.png
F001008008ELABORADOS                    01008.png
F001009009LIBRE SERVICIO                01009.png
F001010010GENERICO CARNE KG             01010.png
F001011011GENERICO CARNE UND            01011.png
F001012012CHARCUTERIA                   01012.png
F001013013QUESOS                        01013.png
F002014001PANADERIA                     02014.png
F002015002BOLLERIA                      02015.png
F003016001Fruteria                      03016.png
50590094010067000000401299W0000FILETE JARRETE VACUN     0000020000000000000000000000000
50590086010071000000401549W0000FILETE REDONDO VACUN     0000020000000000000000000000000
50590087010073000000401549W0000FILETE TAPA VACUNO K     0000020000000000000000000000000
50590097010075000000400799W0000HIGADO VACUNO KG         0000020000000000000000000000000
50590098010077000000409900W0000HUESOS VACUNO KG         0000020000000000000000000000000
50590099010093000000401099W0000OSSOBUCO VACUNO KG       0000020000000000000000000000000
50590095010097000000401349W0000PEZ VACUNO KG            0000020000000000000000000000000
50590100010100000000401349W0000RABO VACUNO KG           0000020000000000000000000000000
50590128010105000000409900W0000SOLOMILLO VACA MADUR     0000020000000000000000000000000
50590076010106000000403499W0000SOLOMILLO VACUNO (PI     0000020000000000000000000000000
50590380010111000000401199W0000ALETA VACUNO KG          0000020000000000000000000000000
50590395010112000000401499W0000FILETE AGUJA VACUNO      0000020000000000000000000000000
50590382010113000000401499W0000FILETE FALSO SOLOMIL     0000020000000000000000000000000
50590270010114000000401349W0000MORCILLO VACUNO KG       0000020000000000000000000000000
50590269010115000000401749W0000PICA—A VACUNO KG         0000020000000000000000000000000
50590404010266000000401549W0000RABILLO TERNERA KG       0000020000000000000000000000000
50590022010116000000500899W0000CONEJO ENTERO KG         0000020000000000000000000000000
50590235010117000000709900W0000BURGER MEAT CERDO KG     0000020000000000000000000000000
50590230010118000000709900W0000BURGER MEAT PAVO KG      0000020000000000000000000000000
50590224010119000000709900W0000BURGER MEAT POLLO C/     0000020000000000000000000000000
50590225010120000000709900W0000BURGER MEAT POLLO C/     0000020000000000000000000000000
50590227010121000000700899W0000BURGER MEAT POLLO KG     0000020000000000000000000000000
50590241010122000000701249W0000BURGER MEAT TERNERA      0000020000000000000000000000000
50590242010123000000701199W0000BURGER MEAT TERNERA      0000020000000000000000000000000
50590244010124000000709900W0000BURGER MEAT TERNERA      0000020000000000000000000000000
50590247010125000000709900W0000BURGER MEAT VACUNO C     0000020000000000000000000000000
50590249010126000000709900W0000BURGER MEAT VACUNO C     0000020000000000000000000000000
50590250010127000000709900W0000BURGER MEAT VACUNO K     0000020000000000000000000000000
