L00      00101020200000105000000000002085000002190010529CATALANA TRUFADA MAS 1/2 19/11/1611:460064927
L00      00201020200000120000000000001825000002190010394CATALANA 1928 MAS        19/11/1611:460064927
00H      0104084001001610000019/11/1612:14000005001064957
L00      00101040840000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1612:140064957
00H      0104084001001610000019/11/1611:24000005001064902
L00      00101040840000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1611:240064902
00H      0104084001001610000019/11/1610:37000003001064866
L00      00101040840000000000000100000300000003000099009Z. CONO DE QUESO PARMESAN19/11/1610:370064866
00H      0104084001001610000019/11/1610:37000005001064867
L00      00101040840000000000000100000500000005000099001Z. CONO DE ESPALDA IBERIC19/11/1610:370064867
00H      0101079001001610000019/11/1610:39000007201064868
L00      00101010790000150000000000004800000007200020256JAMON S. G. RESERVA DUROC19/11/1610:390064868
00H      0104084003001610000019/11/1610:41000009001064869
L00      00101040840000000000000100000300000003000099002Z. CONO DE JAMON G. RVA P19/11/1610:410064869
L00      00201040840000000000000300000100000003000070842EMPANADA MINI CAPRESSE   19/11/1610:410064869
L00      00301040840000000000000100000300000003000099007Z. CONO DE QUESO SEMI CAM19/11/1610:410064869
00H      0104084003001610000019/11/1611:53000011001064934
L00      00101040840000000000000100000300000003000099007Z. CONO DE QUESO SEMI CAM19/11/1611:530064934
L00      00201040840000000000000100000500000005000099001Z. CONO DE ESPALDA IBERIC19/11/1611:530064934
L00      00301040840000000000000100000300000003000099002Z. CONO DE JAMON G. RVA P19/11/1611:530064934
00H      0101079001001610000019/11/1611:54000005001064935
L00      00101010790000000000000100000500000005000099001Z. CONO DE ESPALDA IBERIC19/11/1611:540064935
00H      0104084002001610000019/11/1611:56000008001064936
L00      00101040840000000000000100000500000005000099014Z. CONO DE CROQUETAS DE J19/11/1611:560064936
L00      00201040840000000000000300000100000003000070842EMPANADA MINI CAPRESSE   19/11/1611:560064936
00H      0104084001001610000019/11/1611:58000010001064937
L00      00101040840000000000000200000500000010000099016Z. CONO MIXTO GOURMET    19/11/1611:580064937
00H      0104084001001610000019/11/1611:59000003001064938
L00      00101040840000000000000300000100000003000070842EMPANADA MINI CAPRESSE   19/11/1611:590064938
00H      0104084002001610000019/11/1612:00000010001064939
L00      00101040840000000000000100000500000005000099003Z. CONO DE SALCHICHON MON19/11/1612:000064939
L00      00201040840000000000000100000500000005000099001Z. CONO DE ESPALDA IBERIC19/11/1612:000064939
00H      0101079001001610000019/11/1612:00000005001064940
L00      00101010790000000000000100000500000005000099001Z. CONO DE ESPALDA IBERIC19/11/1612:000064940
00H      0104084001001610000019/11/1612:00000005021064941
L00      00101040840000000000000100000502000005020099003Z. CONO DE SALCHICHON MON19/11/1612:000064941
00H      0103042001001610000019/11/1611:29000007801064905
L00      00101030420000000000000200000390000007800000250FUET1945 SIN PIMIENTA PIE19/11/1611:290064905
00H      0102020003001610000019/11/1612:13000016881064956
L00      00101020200000300000000000002800000008400031967Q. CABRA GARROTXA KG     19/11/1612:130064956
L00      00201020200000430000000000001375000005910020249JAMON COCIDO G. SELECCION19/11/1612:130064956
L00      00301020200000090000000000002860000002570011268SOBRASADA SEMI PICANTE   19/11/1612:130064956
00H      0104042003011610000019/11/1610:47000010001064871
L00      00101040420000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1610:471064871
L00      00101040420000000-000001-0000500-00005000099016Z. CONO MIXTO GOURMET    19/11/1610:471064871
L00      00201040420000000000000100000500000005000099001Z. CONO DE ESPALDA IBERIC19/11/1610:470064871
L00      00301040420000000000000100000500000005000099001Z. CONO DE ESPALDA IBERIC19/11/1610:470064871
00H      0104084002001610000019/11/1612:05000006001064945
L00      00101040840000000000000100000300000003000099002Z. CONO DE JAMON G. RVA P19/11/1612:050064945
L00      00201040840000000000000100000300000003000090400VASO CHIPS & HAM.-       19/11/1612:050064945
00H      0103042001001610000019/11/1612:05000005001064946
L00      00101030420000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1612:050064946
00H      0104084002001610000019/11/1612:06000015001064948
L00      00101040840000000000000300000100000003000070842EMPANADA MINI CAPRESSE   19/11/1612:060064948
L00      00201040840000000000000400000300000012000099007Z. CONO DE QUESO SEMI CAM19/11/1612:060064948
00H      0103042001001610000019/11/1612:06000005001064947
L00      00101030420000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1612:060064947
00H      0104084001001610000019/11/1610:35000005001064864
L00      00101040840000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1610:350064864
00H      0104084002001610000019/11/1612:02000006001064943
L00      00101040840000000000000100000300000003000099002Z. CONO DE JAMON G. RVA P19/11/1612:020064943
L00      00201040840000000000000100000300000003000099007Z. CONO DE QUESO SEMI CAM19/11/1612:020064943
00H      0104084001001610000019/11/1612:08000005001064950
L00      00101040840000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1612:080064950
00H      0104084001001610000019/11/1612:01000005001064942
L00      00101040840000000000000100000500000005000099006Z. CONO DE BASTONETS     19/11/1612:010064942
00H      0104084001001610000019/11/1612:11000003001064952
L00      00101040840000000000000100000300000003000099009Z. CONO DE QUESO PARMESAN19/11/1612:110064952
00H      0103042001001610000019/11/1612:12000005001064953
L00      00101030420000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1612:120064953
00H      0103042001001610000019/11/1612:13000005001064954
L00      00101030420000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1612:130064954
00H      0101019001001610000019/11/1612:13000005001064955
L00      00101010190000000000000100000500000005000099001Z. CONO DE ESPALDA IBERIC19/11/1612:130064955
00H      0104084001001610000019/11/1613:20000005551065045
L00      00101040840000000000000100000555000005550010107CHICHARRONES CON TRUFA CA19/11/1613:200065045
00H      0102020001001610000019/11/1612:07000002541064949
L00      00101020200000185000000000001375000002540020249JAMON COCIDO G. SELECCION19/11/1612:070064949
00H      0104084001001610000019/11/1612:23000005001064967
L00      00101040840000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1612:230064967
00H      0104084002001610000019/11/1612:17000008001064962
L00      00101040840000000000000100000300000003000090400VASO CHIPS & HAM.-       19/11/1612:170064962
L00      00201040840000000000000100000500000005000099014Z. CONO DE CROQUETAS DE J19/11/1612:170064962
00H      0103042001001610000019/11/1612:16000005001064961
L00      00101030420000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1612:160064961
00H      0104084001001610000019/11/1612:24000005001064969
L00      00101040840000000000000100000500000005000099016Z. CONO MIXTO GOURMET    19/11/1612:240064969
00H      0104084002001610000019/11/1612:25000008001064970
L00      00101040840000000000000100000300000003000099007Z. CONO DE QUESO SEMI CAM19/11/1612:250064970
L00      00201040840000000000000100000500000005000099001Z. CONO DE ESPALDA IBERIC19/11/1612:250064970
00H      0104084001001610000019/11/1612:26000020001064971
