03/12/2025 13:53:53 - -----------------------------------------------------------
03/12/2025 14:03:16 - Tratando tqgen03C
03/12/2025 14:04:14 - -----------------------------------------------------------
03/12/2025 14:04:14 - Conectando Oracle
03/12/2025 14:04:14 - Comprobando C:\greenvb
03/12/2025 14:04:14 - Conectando a XE
03/12/2025 14:04:15 - Encontrados 3 ficheros.
03/12/2025 14:04:15 - Tratando 106201.03C
03/12/2025 14:04:16 - Tratando 206202.03C
03/12/2025 14:04:17 - Tratando tqgen03C
03/12/2025 14:05:14 - -----------------------------------------------------------
03/12/2025 14:05:14 - Conectando Oracle
03/12/2025 14:05:14 - Comprobando C:\greenvb
03/12/2025 14:05:14 - Conectando a XE
03/12/2025 14:05:15 - Encontrados 1 ficheros.
03/12/2025 14:05:15 - Tratando tqgen03C
03/12/2025 14:06:14 - -----------------------------------------------------------
03/12/2025 14:06:14 - Conectando Oracle
03/12/2025 14:06:14 - Comprobando C:\greenvb
03/12/2025 14:06:14 - Conectando a XE
03/12/2025 14:06:15 - Encontrados 2 ficheros.
03/12/2025 14:06:15 - Tratando 206203.03C
03/12/2025 14:06:16 - Tratando tqgen03C
03/12/2025 14:07:14 - -----------------------------------------------------------
03/12/2025 14:07:14 - Conectando Oracle
03/12/2025 14:07:14 - Comprobando C:\greenvb
03/12/2025 14:07:14 - Conectando a XE
03/12/2025 14:07:15 - Encontrados 3 ficheros.
03/12/2025 14:07:15 - Tratando 205557.03C
03/12/2025 14:07:16 - Tratando 205558.03C
03/12/2025 14:07:17 - Tratando tqgen03C
03/12/2025 14:08:14 - -----------------------------------------------------------
03/12/2025 14:08:14 - Conectando Oracle
03/12/2025 14:08:14 - Comprobando C:\greenvb
03/12/2025 14:08:14 - Conectando a XE
03/12/2025 14:08:15 - Encontrados 1 ficheros.
03/12/2025 14:08:15 - Tratando tqgen03C
03/12/2025 14:09:14 - -----------------------------------------------------------
03/12/2025 14:09:14 - Conectando Oracle
03/12/2025 14:09:14 - Comprobando C:\greenvb
03/12/2025 14:09:14 - Conectando a XE
03/12/2025 14:09:15 - Encontrados 1 ficheros.
03/12/2025 14:09:15 - Tratando tqgen03C
03/12/2025 14:10:14 - -----------------------------------------------------------
03/12/2025 14:10:14 - Conectando Oracle
03/12/2025 14:10:14 - Comprobando C:\greenvb
03/12/2025 14:10:14 - Conectando a XE
03/12/2025 14:10:15 - Encontrados 2 ficheros.
03/12/2025 14:10:15 - Tratando 205559.03C
03/12/2025 14:10:16 - Tratando tqgen03C
03/12/2025 14:11:14 - -----------------------------------------------------------
03/12/2025 14:11:14 - Conectando Oracle
03/12/2025 14:11:14 - Comprobando C:\greenvb
03/12/2025 14:11:14 - Conectando a XE
03/12/2025 14:11:15 - Encontrados 2 ficheros.
03/12/2025 14:11:15 - Tratando 206204.03C
03/12/2025 14:11:16 - Tratando tqgen03C
03/12/2025 14:12:14 - -----------------------------------------------------------
03/12/2025 14:12:14 - Conectando Oracle
03/12/2025 14:12:14 - Comprobando C:\greenvb
03/12/2025 14:12:14 - Conectando a XE
03/12/2025 14:12:15 - Encontrados 1 ficheros.
03/12/2025 14:12:15 - Tratando tqgen03C
03/12/2025 14:13:14 - -----------------------------------------------------------
03/12/2025 14:13:14 - Conectando Oracle
03/12/2025 14:13:14 - Comprobando C:\greenvb
03/12/2025 14:13:14 - Conectando a XE
03/12/2025 14:13:15 - Encontrados 2 ficheros.
03/12/2025 14:13:15 - Tratando 206205.03C
03/12/2025 14:13:16 - Tratando tqgen03C
03/12/2025 14:14:14 - -----------------------------------------------------------
03/12/2025 14:14:14 - Conectando Oracle
03/12/2025 14:14:14 - Comprobando C:\greenvb
03/12/2025 14:14:14 - Conectando a XE
03/12/2025 14:14:15 - Encontrados 3 ficheros.
03/12/2025 14:14:15 - Tratando 206206.03C
03/12/2025 14:14:16 - Tratando 206207.03C
03/12/2025 14:14:17 - Tratando tqgen03C
03/12/2025 14:15:14 - -----------------------------------------------------------
03/12/2025 14:15:14 - Conectando Oracle
03/12/2025 14:15:14 - Comprobando C:\greenvb
03/12/2025 14:15:14 - Conectando a XE
03/12/2025 14:15:15 - Encontrados 1 ficheros.
03/12/2025 14:15:15 - Tratando tqgen03C
03/12/2025 14:16:14 - -----------------------------------------------------------
03/12/2025 14:16:14 - Conectando Oracle
03/12/2025 14:16:14 - Comprobando C:\greenvb
03/12/2025 14:16:14 - Conectando a XE
03/12/2025 14:16:15 - Encontrados 4 ficheros.
03/12/2025 14:16:15 - Tratando 205561.03C
03/12/2025 14:16:16 - Tratando 206930.03C
03/12/2025 14:16:17 - Tratando 206931.03C
03/12/2025 14:16:18 - Tratando tqgen03C
03/12/2025 14:17:14 - -----------------------------------------------------------
03/12/2025 14:17:14 - Conectando Oracle
03/12/2025 14:17:14 - Comprobando C:\greenvb
03/12/2025 14:17:14 - Conectando a XE
03/12/2025 14:17:15 - Encontrados 2 ficheros.
03/12/2025 14:17:15 - Tratando 205562.03C
03/12/2025 14:17:16 - Tratando tqgen03C
03/12/2025 14:18:14 - -----------------------------------------------------------
03/12/2025 14:18:14 - Conectando Oracle
03/12/2025 14:18:14 - Comprobando C:\greenvb
03/12/2025 14:18:14 - Conectando a XE
03/12/2025 14:18:15 - Encontrados 1 ficheros.
03/12/2025 14:18:15 - Tratando tqgen03C
03/12/2025 14:19:14 - -----------------------------------------------------------
03/12/2025 14:19:14 - Conectando Oracle
03/12/2025 14:19:14 - Comprobando C:\greenvb
03/12/2025 14:19:14 - Conectando a XE
03/12/2025 14:19:15 - Encontrados 1 ficheros.
03/12/2025 14:19:15 - Tratando tqgen03C
03/12/2025 14:20:14 - -----------------------------------------------------------
03/12/2025 14:20:14 - Conectando Oracle
03/12/2025 14:20:14 - Comprobando C:\greenvb
03/12/2025 14:20:14 - Conectando a XE
03/12/2025 14:20:15 - Encontrados 3 ficheros.
03/12/2025 14:20:15 - Tratando 205563.03C
03/12/2025 14:20:16 - Tratando 205564.03C
03/12/2025 14:20:17 - Tratando tqgen03C
03/12/2025 14:21:14 - -----------------------------------------------------------
03/12/2025 14:21:14 - Conectando Oracle
03/12/2025 14:21:14 - Comprobando C:\greenvb
03/12/2025 14:21:14 - Conectando a XE
03/12/2025 14:21:15 - Encontrados 1 ficheros.
03/12/2025 14:21:15 - Tratando tqgen03C
03/12/2025 14:22:14 - -----------------------------------------------------------
03/12/2025 14:22:14 - Conectando Oracle
03/12/2025 14:22:14 - Comprobando C:\greenvb
03/12/2025 14:22:14 - Conectando a XE
03/12/2025 14:22:15 - Encontrados 3 ficheros.
03/12/2025 14:22:15 - Tratando 106210.03C
03/12/2025 14:22:16 - Tratando 206209.03C
03/12/2025 14:22:17 - Tratando tqgen03C
03/12/2025 14:23:14 - -----------------------------------------------------------
03/12/2025 14:23:14 - Conectando Oracle
03/12/2025 14:23:14 - Comprobando C:\greenvb
03/12/2025 14:23:14 - Conectando a XE
03/12/2025 14:23:15 - Encontrados 1 ficheros.
03/12/2025 14:23:15 - Tratando tqgen03C
03/12/2025 14:24:14 - -----------------------------------------------------------
03/12/2025 14:24:14 - Conectando Oracle
03/12/2025 14:24:14 - Comprobando C:\greenvb
03/12/2025 14:24:14 - Conectando a XE
03/12/2025 14:24:15 - Encontrados 1 ficheros.
03/12/2025 14:24:15 - Tratando tqgen03C
03/12/2025 14:25:14 - -----------------------------------------------------------
03/12/2025 14:25:14 - Conectando Oracle
03/12/2025 14:25:14 - Comprobando C:\greenvb
03/12/2025 14:25:14 - Conectando a XE
03/12/2025 14:25:15 - Encontrados 1 ficheros.
03/12/2025 14:25:15 - Tratando tqgen03C
03/12/2025 14:26:14 - -----------------------------------------------------------
03/12/2025 14:26:14 - Conectando Oracle
03/12/2025 14:26:14 - Comprobando C:\greenvb
03/12/2025 14:26:14 - Conectando a XE
03/12/2025 14:26:15 - Encontrados 2 ficheros.
03/12/2025 14:26:15 - Tratando 206932.03C
03/12/2025 14:26:16 - Tratando tqgen03C
03/12/2025 14:27:14 - -----------------------------------------------------------
03/12/2025 14:27:14 - Conectando Oracle
03/12/2025 14:27:14 - Comprobando C:\greenvb
03/12/2025 14:27:14 - Conectando a XE
