LOG 200606,3,1305,0,002389,000,001,000001,PIMIENTA BLANCA,01
LOG 210606,0,1352,0,002491,000,001,0000090,SANDIA ESTUDIANTE,01
LOG 210606,0,1354,0,000487,000,001,0000195,PLATANO KG.,01
LOG 210606,3,1209,0,000330,000,001,000009,CEBOLLA ROJA,01
LOG 230606,0,0921,0,000009,000,001,0000145,BERENGENA KG.,01
LOG 230606,0,0922,0,000009,000,001,0000150,BERENGENA KG.,01
LOG 230606,0,0926,0,000080,000,001,0000120,LECHUGA TROCADERO UD.,01
LOG 230606,0,0932,0,000098,000,001,0000190,COL CHINA UD.,01
LOG 230606,0,0932,0,000047,000,001,0000175,COGOLLO UD.,01
LOG 230606,3,2038,0,001907,000,001,000001,FRIJOLE BLANCO 1 2kg,01
LOG 240606,0,1213,0,000341,000,001,0000070,ENVASE 2 750kgr,01
LOG 240606,0,1222,0,000373,000,001,0000228,RAMET D'HERBES,01
LOG 240606,0,1228,0,000374,000,001,0000245,BARREJA SETAS,01
LOG 240606,0,1309,0,000844,000,001,0000099,VINAGRE NEGRO,01
LOG 270606,0,1036,0,000413,000,001,0000225,CIRUELA NEGRA KG.,01
LOG 270606,0,1036,0,000449,000,001,0000265,MELOCOTON AMARILLO KG.,01
LOG 270606,0,1037,0,000076,000,001,0000099,TOMATE MADURO KG.,01
LOG 270606,0,1039,0,000078,000,001,0000120,TOMATE PERA KG.,01
LOG 270606,0,1041,0,000079,000,001,0000130,TOMATE RAMA KG.,01
LOG 270606,0,1041,0,000072,000,001,0000135,TOMATE VERDE KG.,01
LOG 270606,0,1041,0,000009,000,001,0000099,BERENGENA KG.,01
LOG 270606,0,1042,0,000062,000,001,0000085,PEPINO KG.,01
LOG 270606,0,1042,0,000065,000,001,0000195,PIMIENTO VERDE KG.,01
LOG 270606,0,1043,0,000066,000,001,0000145,PIMIENTO ROJO KG.,01
LOG 290606,0,1343,0,000202,000,001,0000975,CARACOL BOVE SELEC,01
LOG 290606,0,1343,0,000205,000,001,0000895,CARACOL PLA,01
LOG 290606,0,1343,0,000204,000,001,0000695,CARACOL BOVE MITJA,01
LOG 290606,0,1343,0,000409,000,001,0000435,PICOTAS,01
LOG 290606,0,1344,0,000453,000,001,0000480,MELOCOTON PARAGUAYO,01
LOG 290606,0,1344,0,000454,000,001,0000150,MELOCOTON ROJO KG.,01
LOG 290606,0,1344,0,000203,000,001,0001150,CARACOL D ALCARRAS,01
LOG 280606,3,2039,0,000483,000,001,000002,PIÑA DEL MONTE KG.,01
LOG 290606,3,1056,0,000892,000,001,000002,LEJIA 5L,01
SEC 001,000,0004,000000001,000000004,000000000,000000577,01
SEC 001,000,0010,000000001,000000005,000000000,000000898,01
SEC 001,000,0002,000000060,000000184,000249970,000042689,01
SEC 001,000,0001,000000069,000000292,000148635,000032642,01
SEC 001,000,0000,000000030,000000098,000017780,000015270,01
SEC 001,000,0005,000000004,000000006,000000000,-000006536,01
SEC 001,000,0002,000000058,000000174,000214640,000028812,01
SEC 001,000,0000,000000025,000000067,000011755,000014968,01
SEC 001,000,0001,000000067,000000266,000149545,000028376,01
SEC 001,000,0003,000000001,000000007,000002630,000001219,01
SEC 001,000,0015,000000003,000000003,000000000,000000216,01
SEC 001,000,0008,000000002,000000006,000000700,000000420,01
SEC 001,000,0010,000000001,000000002,000000000,000000269,01
SEC 001,000,0006,000000000,000000001,000000150,000000086,01
SEC 001,240,0001,000000001,000000003,000000000,000000939,01
SEC 001,000,0005,000000001,000000004,000000000,000000562,01
SEC 001,240,0001,000000000,000000003,000000000,000000840,01
SEC 001,000,0016,000000001,000000003,000000000,000000395,01
SEC 001,000,0011,000000000,000000001,000000575,000000661,01
SEC 001,000,0004,000000000,000000001,000000000,000000208,01
SEC 001,000,0012,000000000,000000001,000000000,000000160,01
SEC 001,000,0001,000000055,000000223,000127985,000027415,01
SEC 001,000,0002,000000053,000000178,000207215,000035245,01
SEC 001,000,0012,000000005,000000006,000000810,000001770,01
SEC 001,000,0006,000000000,000000009,000000535,000001237,01
SEC 001,000,0011,000000001,000000002,000001900,000001884,01
SEC 001,000,0005,000000004,000000008,000000000,000003131,01
SEC 001,000,0015,000000008,000000010,000000000,000000903,01
SEC 001,000,0000,000000010,000000024,000006255,000004254,01
SEC 001,000,0003,000000001,000000009,000002885,000001640,01
SEC 001,000,0008,000000005,000000007,000001270,000000762,01
SEC 001,000,0009,000000001,000000001,000000000,000000118,01
SEC 001,000,0016,000000001,000000008,000000000,000000868,01
SEC 001,000,0013,000000000,000000001,000000000,000000120,01
SEC 001,000,0007,000000001,000000001,000000000,000000096,01
SEC 001,000,0001,000000021,000000104,000052325,000012340,01
SEC 001,000,0002,000000023,000000077,000113810,000020976,01
SEC 001,000,0000,000000007,000000017,000008835,000004015,01
SEC 001,000,0003,000000001,000000002,000000445,000000293,01
SEC 001,000,0008,000000002,000000005,000000185,000000356,01
SEC 001,000,0015,000000003,000000004,000000000,000000514,01
SEC 001,240,0001,000000002,000000002,000000000,000000840,01
SEC 001,000,0016,000000004,000000011,000000000,000001405,01
SEC 001,000,0006,000000000,000000001,000000000,000000099,01
SEC 001,000,0012,000000000,000000001,000000000,000000080,01
SEC 001,000,0011,000000001,000000002,000002315,000001927,01
SEC 001,000,0010,000000001,000000002,000000000,000000478,01
SEC 001,000,0005,000000001,000000002,000000000,000000228,01
ART 030706,000609,PEPSI 2L                 ,001,0000,002,000609,0000145,000000001,000000000,000000145,0000000,0000000,01
ART 030706,000066,PIMIENTO ROJO KG.        ,001,0000,001,000066,0000165,000000000,000008030,000001325,0000000,0000000,01
ART 030706,000115,ROSSIÑOL                 ,001,0000,001,000115,0001500,000000000,000000480,000000721,0000000,0000000,01
ART 030706,000696,VINO NEGRO GRANEL        ,001,0000,005,000696,0000099,000000001,000000000,000000099,0000000,0000000,01
ART 030706,000072,TOMATE VERDE KG.         ,001,0000,001,000072,0000165,000000000,000006075,000001001,0000000,0000000,01
