29/09/2025 10:34:10	Inicio aplicación Transfer K-Scale y TouchScale.

29/09/2025 10:34:10	Inicio transferencia balanza: 1
29/09/2025 10:34:10	OK Ping con la balanza	1
29/09/2025 10:34:10	OK - Acceso a balanza
29/09/2025 10:34:10	Copiando:	Images
29/09/2025 10:34:13		Copiado:	393791.png
29/09/2025 10:34:13		Copiado:	395070.png
29/09/2025 10:34:13		Copiado:	395899.png
29/09/2025 10:34:13		Copiado:	400052.png
29/09/2025 10:34:13		Copiado:	400053.png
29/09/2025 10:34:13		Copiado:	400060.png
29/09/2025 10:34:13		Copiado:	400061.png
29/09/2025 10:34:13		Copiado:	400062.png
29/09/2025 10:34:13		Copiado:	400063.png
29/09/2025 10:34:13		Copiado:	400065.png
29/09/2025 10:34:13		Copiado:	400066.png
29/09/2025 10:34:13		Copiado:	400070.png
29/09/2025 10:34:13		Copiado:	411301.png
29/09/2025 10:34:13		Copiado:	411303.png
29/09/2025 10:34:13		Copiado:	414600.png
29/09/2025 10:34:13		Copiado:	414601.png
29/09/2025 10:34:13		Copiado:	414602.png
29/09/2025 10:34:13		Copiado:	414603.png
29/09/2025 10:34:13		Copiado:	414605.png
29/09/2025 10:34:13		Copiado:	414606.png
29/09/2025 10:34:13		Copiado:	414608.png
29/09/2025 10:34:13		Copiado:	414609.png
29/09/2025 10:34:13		Copiado:	414610.png
29/09/2025 10:34:13		Copiado:	414611.png
29/09/2025 10:34:13		Copiado:	414612.png
29/09/2025 10:34:13		Copiado:	414613.png
29/09/2025 10:34:13		Copiado:	414614.png
29/09/2025 10:34:13		Copiado:	414615.png
29/09/2025 10:34:13		Copiado:	414616.png
29/09/2025 10:34:13		Copiado:	414617.png
29/09/2025 10:34:13		Copiado:	414618.png
29/09/2025 10:34:13		Copiado:	414619.png
29/09/2025 10:34:13		Copiado:	414620.png
29/09/2025 10:34:13		Copiado:	414621.png
29/09/2025 10:34:13		Copiado:	414622.png
29/09/2025 10:34:13		Copiado:	414623.png
29/09/2025 10:34:13		Copiado:	414624.png
29/09/2025 10:34:14		Copiado:	414625.png
29/09/2025 10:34:14		Copiado:	414626.png
29/09/2025 10:34:14		Copiado:	414627.png
29/09/2025 10:34:14		Copiado:	414628.png
29/09/2025 10:34:14		Copiado:	414629.png
29/09/2025 10:34:14		Copiado:	414630.png
29/09/2025 10:34:14		Copiado:	414631.png
29/09/2025 10:34:14		Copiado:	414632.png
29/09/2025 10:34:14		Copiado:	414633.png
29/09/2025 10:34:14		Copiado:	414634.png
29/09/2025 10:34:14		Copiado:	414635.png
29/09/2025 10:34:14		Copiado:	414636.png
29/09/2025 10:34:14		Copiado:	414637.png
29/09/2025 10:34:14		Copiado:	414638.png
29/09/2025 10:34:14		Copiado:	414639.png
29/09/2025 10:34:14		Copiado:	414640.png
29/09/2025 10:34:14		Copiado:	414641.png
29/09/2025 10:34:14		Copiado:	414642.png
29/09/2025 10:34:14		Copiado:	414643.png
29/09/2025 10:34:14		Copiado:	414644.png
29/09/2025 10:34:14		Copiado:	414645.png
29/09/2025 10:34:14		Copiado:	414646.png
29/09/2025 10:34:14		Copiado:	414647.png
29/09/2025 10:34:14		Copiado:	414648.png
29/09/2025 10:34:14		Copiado:	414649.png
29/09/2025 10:34:14		Copiado:	414651.png
29/09/2025 10:34:14		Copiado:	414652.png
29/09/2025 10:34:14		Copiado:	414653.png
