F001001001VERDURAS                      01001.png
F001002002FRUTERIA                      01002.png
F001006003CONGELAT                      01006.png
F101011004MANTEGATS I POLVORON          01011.png
F101012005MANTEGADES I POLVOR.          01012.png
F101013006MANTECAT I POLVORONS          01013.png
F002003001QUESOS                        02003.png
F002004002CHARCUTERIA                   02004.png
F002005003CARNICERIA                    02005.png
F002007004ELABORADOS                    02007.png
F002008005VEDELLA                       02008.png
F002009006XAI                           02009.png
F002010007AVIRAM                        02010.png
51959903020001000000300000W0000CHAR G1 BAL (PESO)       0000010000000000000000000000000
51959904020002000000300000U0000CHAR G1 BAL (UNIT)       0000010000000000000000000000000
50042537020005000000300845W0000FORMATGE BARRA COALI     0000010000000000000000000000000
50042238020007000000303159W0000FORMATGE BOFFARD RES     0000010000000000000000000000000
50042313020009000000301305W0000FORMATGE CADI BARRA      0000010000000000000000000000000
50042301020010000000301239W0000FORMATGE CADI BOLA R     0000010000000000000000000000000
50042300020011000000300925W0000FORMATGE CADI BOLA T     0000010000000000000000000000000
50042209020012000000301645W0000FORMATGE CIGARRAL BA     0000010000000000000000000000000
50042527020013000000302015W0000FORM.COALIMENT CABRA     0000010000000000000000000000000
50042272020015000000301335W0000FORMATGE COALIMENT S     0000010000000000000000000000000
50042235020016000000302539W0000FORMATGE FLOR DE ESG     0000010000000000000000000000000
50042268020017000000301875W0000FORMATGE GARCIA BAQU     0000010000000000000000000000000
50042267020018000000301789W0000FORMATGE GARCIA BAQU     0000010000000000000000000000000
50042269020019000000302019W0000FORMATGE GARCIA BAQU     0000010000000000000000000000000
50042548020022000000302469W0000FORMATGE POK OV.CRUA     0000010000000000000000000000000
50042451020023000000302605W0000FORMATGE PRESIDENT R     0000010000000000000000000000000
50042204020025000000301569W0000FORMATGE VENTERO BAR     0000010000000000000000000000000
50042314020026000000301875W0000FORMATGE VENTERO BAR     0000010000000000000000000000000
50310909020031000000302565W0000166 AHUYENTALOBOS OV     0000010000000000000000000000000
50310416020036000000301745W0000007200 HAVARTI 60% D     0000010000000000000000000000000
50305502020039000000302395W000040050 LA CABRA FELIZ     0000010000000000000000000000000
51142408020266000000301729W0000007240 FORM.HAVARTI      0000010000000000000000000000000
50044555020008000000401695W0000CENTRE PERNIL CURAT      0000020000000000000000000000000
50300770020042000000402185W000011010000 LLONGANISSA     0000020000000000000000000000000
51300773020043000000402089W000013220000 P.CURAT DES     0000020000000000000000000000000
51300642020044000000401605U000013650 DAU PERNIL CUR     0000020000000000000000000000000
50300781020046000000401645W000015300000 J.C. EXTRA      0000020000000000000000000000000
51226222020048000000403495W000031385 PATE A/INDIOT      0000020000000000000000000000000
51226437020049000000403275W000031387 PATE C/PERNIL      0000020000000000000000000000000
51226438020050000000401645U000031388 PATE RESERVA N     0000020000000000000000000000000
50044371020053000000401245W0000BISBE BLANC SUBIRATS     0000020000000000000000000000000
50044372020054000000401105W0000BISBE NEGRE SUBIRATS     0000020000000000000000000000000
51044386020055000000400895W0000BOTIFARRA BLANCA AMP     0000020000000000000000000000000
50063056020056000000400275U0000BOTIFARRA BLANCA DEL     0000020000000000000000000000000
50044385020057000000401095W0070BOTIFARRA CATALANA 1     0000020000000000000000000000000
51226223020061000000402395W000031898 FARCIT INDIOT      0000020000000000000000000000000
51044387020062000000400858W0000BOTIFARRA NEGRA AMPL     0000020000000000000000000000000
51044389020063000000400239U0000BOTIFARRA NEGRA FERR     0000020000000000000000000000000
50063057020064000000400265U0000BOTIFARRA NEGRE 300      0000020000000000000000000000000
50063348020066000000400869W0000BOTIFARRO 2,5 kg         0000020000000000000000000000000
50044110020070000000401595W0000CANSALADA AMB PEBRE      0000020000000000000000000000000
50044101020071000000401869W0000CANSALADA DOBLE OBRA     0000020000000000000000000000000
50044182020072000000401295W0000CAP DE SENGLAR TUNEL     0000020000000000000000000000000
51226389020074000000400564U000032411 BLOC F.GRAS AN     0000020000000000000000000000000
51226539020075000000402863W000032475 MOUSSE ANEC 30     0000020000000000000000000000000
51959905020076000000400000W0000CHAR G2 BAL (PESO)       0000020000000000000000000000000
51959906020077000000400000U0000CHAR G2 BAL (UNIT)       0000020000000000000000000000000
51226224020078000000401295U000032848 FOIE GRAS ANEC     0000020000000000000000000000000
50301046020079000000404845W000013780000 PERNIL IBER     0000020000000000000000000000000
51226415020080000000402178W0000COCHONNET DETRY PEÇA     0000020000000000000000000000000
50377526020082000000413935U0000ESPATLLA ENCEBALL CA     0000020000000000000000000000000
50143754020083000000407900U0000ESPAT.ENCEB.IB.AZUAG     0000020000000000000000000000000
50143972020084000000406995U0000ESPATLLA IBER.ENCEBA     0000020000000000000000000000000
51226418020088000000402900W0000GALANTINE J.STAL.ANE     0000020000000000000000000000000
50044502020091000000402392W0000LLOM EMBUTXAT SUBIRA     0000020000000000000000000000000
50043580020093000000401595W0070LLONGANISSA PAGES SU     0000020000000000000000000000000
50043833020094000000409500W0000PERNIL 5 J SRC GLA A     0000020000000000000000000000000
51042002020095000000401295U0000MANTEGA CADI 1kg PAN     0000020000000000000000000000000
50044047020096000000400859W0000MORTADEL·LA ELPOZO O     0000020000000000000000000000000
51226420020100000000402255W0000MOUSSE OCA DOMAINE B     0000020000000000000000000000000
51226409020101000000403055W0000PATE DE SPIEGELEIRE      0000020000000000000000000000000
50377529020102000000401295W0000PERNIL C.BONNATUR RO     0000020000000000000000000000000
50143752020103000000405490U0000ESPAT.CUR.CAMPODULCE     0000020000000000000000000000000
50143791020104000000401995W0000PERNIL DESOSS..B/SAL     0000020000000000000000000000000
50043956020105000000401395W0070PERNIL DOLÇ BONNATUR     0000020000000000000000000000000
50568273020108000000401299W000010133 PIT DE GALL D'     0000020000000000000000000000000
50226405020111000000404095W0000PULARDA FARC.XAMP.ST     0000020000000000000000000000000
50063353020112000000402240W0000RAL CENTRE ESPATLLA      0000020000000000000000000000000
50063354020113000000402696W0000RAL CENTRE PERNIL V      0000020000000000000000000000000
50377527020114000000401275W0000ROULADA AMB FESTUCS      0000020000000000000000000000000
50226270020116000000400510U0000SALMO NORUEG FUM.FRE     0000020000000000000000000000000
50044201020117000000401335W0000SOBRASSADA LA FLOR D     0000020000000000000000000000000
50226403020118000000407400U0000TRESOR FIGUES A/FOIE     0000020000000000000000000000000
50144117020125000000401195W000023047 BACO SEMICUIT      0000020000000000000000000000000
50305508020126000000402989W000012020 LLONGANISSA EX     0000020000000000000000000000000
50377518020127000000407095W0000CENTRE PERNIL ENCEBA     0000020000000000000000000000000
50305533020129000000402481W000016512 TURKEY BREAST      0000020000000000000000000000000
51305510020130000000411949W000018411 FOIE GRAS 1 KG     0000020000000000000000000000000
51228565020131000000400266U000020609 MARRON GLACE C     0000020000000000000000000000000
51144099020132000000400639W000022196 CANSAL.SALADA      0000020000000000000000000000000
51228560020134000000402895W000029129 MOUSSE PATO P.     0000020000000000000000000000000
51228562020135000000404065W000031364 PATE ANEC CAVA     0000020000000000000000000000000
51226610020136000000400499U000031659 ASSORTIT MINI      0000020000000000000000000000000
51226531020137000000407295U000031700 FOIE GRAS ANEC     0000020000000000000000000000000
