     1   1010010002PALETA                   0000642U02            012
  12421242010010005MERM.NAR.AMR.BEB.820     0000247U02841041690124000
  12451245010010012IOGURT DESNA AMPO.52     0000278U02842008620124000
   125 125010010004CABECERO EMBUCHADO       0001203W02            030
  12501250010010012MANTEQ.IRL.KERRYGOLD     0000175U02501103811250000
  12521252010010012IOGURT PLAT.AMP.525G     0000302U02842008620125000
  12551255010010005PIÑA RODAJAS 820GR       0000161U022400001255  000
   126 126010010004LOMITOS IBERICOS         0004200W02            030
  12601260010010005SILUETA SOJA             0000197U02841260030010000
  12651265010010026LECHE LETEL1.5M.G.       0000105U03841054400126000
  12691269010010019PLUMAS 6 250             0000042U02841006900126000
   127 127010010004LOMO BELLOTA EMBUCHA     0005020W02            030
  12791279010010005CHOC.CRUNCH NESTLE       0000090U02303371000127000
   128 128010010004LONGANIZA PASCUA         0000975W02            030
  12831283010010019FIDEO O 250G             0000042U02841006900128000
   129 129010010022PALETA PAIS C/MANO       0001683W02            030
  12901290010010019FIDEO 1 GALLO            0000042U02841006900129000
  12971297010010018PASTELITO MAZAPAN        0001185U02841116371297000
    13  13010010001LOMO CAÑA CERDO          0000650W02            006
   130 130010010022PALETA PAIS CENTRO       0001053W02            030
  13001300010010005RITTER BLANCO            0000120U02400041701300000
  13011301010010019SPAGHETTI ESPINACAS      0000165U02841017301301000
  13041304010010015VIÑA MAR ROSADO 3/4      0000157U01841127720130000
  13061306010010019FIDEO 2 250G             0000042U02841006900130000
  13071307010010019TALLARIN.CARBONARA       0000155U02841030010130000
  13081308010010005SALSA BOLOÑESA 200G      0000175U02841118908130000
  13091309010010005CORN FLAKES 375G         0000192U02841018801130000
   131 131010010022PALETA IBER.BELL.C/M     0006610W02            030
  13131313010010005CALDO VERDURA MAGGI      0000087U02841010006131000
  73007300010010018FRESON                   0000500U02841305730005000
   132 132010010004PANCETA DOBLE CURADA     0000898W02            030
  13201320010010019FIDEO 4 250G             0000042U02841006900132000
   133 133010010004LONGANIZA PAGES EXTR     0001504W02            030
  13311331010010005ESP.FIESTA CARRETILL     0000159U02841041693133000
  13351335010010012NATA SPRAY ORO           0000122U02800799029135000
  13371337010010019FIDEO 5 250G             0000042U02841006900133000
   134 134010010022PALETA IBER.BELLOTA      0002284W02            000
  13441344010010019FIDEO PERLA 250          0000042U02841006900134000
   135 135010010004SALCHICHON D.O. VIC      0002865W02            030
   136 136010010004LLONGANISSA XAFADA       0001750W02            030
  13621362010010006ROQUEFORT LONCHAS        0000285U03302326000136000
  13651365010010005ANCHOAS MIAU             0000099U02841005401136000
   137 137010010004SALCHICHON EXTRA         0000905W02            030
   138 138010010004SALCHICHON PIC. FINO     0000721W02            030
  13801380010010026LECHE FLORA 1L           0000097U02841380000100000
 138023802010010001JAMON REDONDO C/P        0000334W02            004
 138093809010010010OSSOBUCO PAVO            0000429W02            006
 138123812010010023JABALI CHULETERO         0001300W02            006
 138143814010010023JABALI LOMO S/H          0002167W02            006
  13841384010010012AG.S. FRE-LIM X8         0000200U02841050000138000
  13861386010010005PATATAS CHIP.ARGENTE     0000100U02841366451138000
   139 139010010004SALAMI ANCHETE F.H.      0000902W02            030
  13901390010010016PICADES G POT 18G        0000044U02841390010020000
  13991399010010019LAZOS 1 250G             0000042U02841006900139000
 139983998010010010EMU BISTEC               0002500W02            006
    14  14010010001PANCETA CERDO            0000379W02            005
   140 140010010004SAGI RANCI               0000360W02            030
  14001400010010005RITTER GALLETA           0000125U02400041721400000
 140004000010010029ELIMINAR                 0000151W02            006
 140014001010010029MAGRET PATO CONG         0001334W02            006
  14031403010010015VÑA MAR TINTO 3/4        0000175U01841127720140000
 140384038010010010PECHUGA PAVO CONG        0000547W02            006
 140394039010010010PIELES PAVO              0000125W02            006
  14071407010010005SALSA ROMESCO 150G       0000195U02841118908140000
  14081408010010005SAL ALTA COCINA 2K       0000148U02841060411140000
   141 141010010004SOBRASSADA MALLORCA      0000799U02841245056005030
  14101410010010027TONICA SCHWEPPES 1L      0000111U02841410000138000
  14111411010010005MNI.P.T.175G             0000166U02841012314110000
